Date,Electricity_Price_EUR_per_MWh
2017-08-30,36.09
2017-08-31,38.59
2017-09-01,38.79
2017-09-02,33.79
2017-09-03,30.83
2017-09-04,36.6
2017-09-05,37.53
2017-09-06,30.95
2017-09-07,34.25
2017-09-08,26.94
2017-09-09,32.6
2017-09-10,20.46
2017-09-11,22.28
2017-09-12,29.9
2017-09-13,11.64
2017-09-14,24.73
2017-09-15,36.41
2017-09-16,36.89
2017-09-17,33.48
2017-09-18,42.09
2017-09-19,41.09
2017-09-20,39.31
2017-09-21,39.28
2017-09-22,40.19
2017-09-23,36.06
2017-09-24,35.05
2017-09-25,42.49
2017-09-26,40.35
2017-09-27,40.81
2017-09-28,40.42
2017-09-29,39.02
2017-09-30,34.7
2017-10-01,29.96
2017-10-02,18.12
2017-10-03,24.88
2017-10-04,27.34
2017-10-05,18.22
2017-10-06,27.87
2017-10-07,6.34
2017-10-08,26.2
2017-10-09,42.28
2017-10-10,36.62
2017-10-11,33.53
2017-10-12,26.79
2017-10-13,39.35
2017-10-14,31.95
2017-10-15,29.85
2017-10-16,39.04
2017-10-17,38.01
2017-10-18,52.61
2017-10-19,45.94
2017-10-20,38.13
2017-10-21,33.02
2017-10-22,22.62
2017-10-23,41.73
2017-10-24,36.74
2017-10-25,35.15
2017-10-26,39.62
2017-10-27,29.67
2017-10-28,-17.15
2017-10-29,-47.46
2017-10-30,33.16
2017-10-31,36.83
2017-11-01,30.62
2017-11-02,34.74
2017-11-03,50.44
2017-11-04,33.58
2017-11-05,31.18
2017-11-06,51.22
2017-11-07,52.42
2017-11-08,67.45
2017-11-09,51.02
2017-11-10,30.8
2017-11-11,23.44
2017-11-12,33.96
2017-11-13,46.02
2017-11-14,39.99
2017-11-15,64.82
2017-11-16,47.38
2017-11-17,42.67
2017-11-18,18.62
2017-11-19,9.93
2017-11-20,39.46
2017-11-21,48.93
2017-11-22,30.99
2017-11-23,24.08
2017-11-24,43.27
2017-11-25,39.17
2017-11-26,18.49
2017-11-27,29.67
2017-11-28,38.0
2017-11-29,71.89
2017-11-30,67.14
2017-12-01,48.32
2017-12-02,37.72
2017-12-03,33.94
2017-12-04,35.51
2017-12-05,35.38
2017-12-06,33.68
2017-12-07,34.44
2017-12-08,33.08
2017-12-09,25.57
2017-12-10,26.48
2017-12-11,38.75
2017-12-12,34.86
2017-12-13,30.87
2017-12-14,33.71
2017-12-15,40.92
2017-12-16,36.32
2017-12-17,35.42
2017-12-18,45.72
2017-12-19,48.06
2017-12-20,48.4
2017-12-21,39.13
2017-12-22,37.44
2017-12-23,21.95
2017-12-24,12.58
2017-12-25,21.33
2017-12-26,15.85
2017-12-27,35.38
2017-12-28,33.57
2017-12-29,28.3
2017-12-30,23.78
2017-12-31,18.96
2018-01-01,-24.33
2018-01-02,33.01
2018-01-03,8.62
2018-01-04,30.13
2018-01-05,32.49
