date,y_pred,lower,upper,country
2026-01-30,127.01727244102523,102.90432529979356,151.1302195822569,poland
2026-01-31,127.83723147838268,103.724284337151,151.95017861961435,poland
2026-01-01,35.524043330595234,-4.5855108721750355,75.6335975333655,estonia
2026-01-02,45.7535715164704,5.644017313700132,85.86312571924067,estonia
2026-01-03,42.297540099219376,2.1879858964491063,82.40709430198964,estonia
2026-01-04,48.939806348870036,8.830252146099767,89.0493605516403,estonia
2026-01-05,53.57701731398412,13.467463111213853,93.68657151675438,estonia
2026-01-06,52.93198614465723,12.822431941886961,93.0415403474275,estonia
2026-01-07,45.5002490823597,5.390694879589432,85.60980328512997,estonia
2026-01-08,46.054962312127365,5.945408109357096,86.16451651489763,estonia
2026-01-09,47.94161991794081,7.832065715170543,88.05117412071108,estonia
2026-01-10,46.48748498000737,6.377930777237104,86.59703918277765,estonia
2026-01-11,53.71859402086338,13.609039818093109,93.82814822363365,estonia
2026-01-12,55.70333890200399,15.593784699233723,95.81289310477426,estonia
2026-01-13,55.76210210148001,15.652547898709742,95.87165630425028,estonia
2026-01-14,47.657716025146776,7.548161822376507,87.76727022791704,estonia
2026-01-15,47.92743734120049,7.8178831384302185,88.03699154397076,estonia
2026-01-16,49.444159365922275,9.334605163152006,89.55371356869254,estonia
2026-01-17,49.70597210432212,9.596417901551852,89.8155263070924,estonia
2026-01-18,51.41468874255973,11.305134539789464,91.52424294533,estonia
2026-01-19,52.69353906165203,12.583984858881763,92.8030932644223,estonia
2026-01-20,53.08461081634064,12.975056613570374,93.19416501911091,estonia
2026-01-21,51.71390312933546,11.604348926565194,91.82345733210573,estonia
2026-01-22,51.50109383050234,11.391539627732072,91.61064803327261,estonia
2026-01-23,52.03791508320863,11.928360880438362,92.1474692859789,estonia
2026-01-24,52.33464911370578,12.22509491093551,92.44420331647605,estonia
2026-01-25,53.606853212611895,13.497299009841626,93.71640741538216,estonia
2026-01-26,54.576954768671605,14.467400565901336,94.68650897144187,estonia
2026-01-27,55.08046712445477,14.970912921684501,95.19002132722504,estonia
2026-01-28,54.38016168366196,14.270607480891691,94.48971588643224,estonia
2026-01-29,54.25582531305501,14.146271110284744,94.36537951582528,estonia
2026-01-30,54.612886856639676,14.503332653869407,94.72244105940995,estonia
2026-01-31,55.01191331841228,14.902359115642014,95.12146752118255,estonia
